Handle,Command,Title,Body HTML,Vendor,Type,Tags,Status,Published,Published Scope,Template Suffix,Top Row,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Cost,Variant Weight,Variant Weight Unit,Variant Inventory Policy,Variant Inventory Tracker,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Variant Metafield: custom.attachment_specs [json]
cid-auger-bits,,,,,,,,,,,,Size,"2""",,,,,CID8084,259.90,293.80,226.00,15,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"18""",,,,,CID8086,767.05,867.10,667.00,,,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"30""",,,,,CID8130,1162.65,1314.30,1011.00,193,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"6""",,,,,CID9092,373.75,422.50,325.00,48,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"24""",,,,,CID9093,1023.50,1157.00,890.00,,,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"4""",,,,,CID9100,354.20,400.40,308.00,,,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"4""",,,,,CID9107,372.60,421.20,324.00,47,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"6""",,,,,CID9108,416.30,470.60,362.00,50,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"9""",,,,,CID9110,496.80,561.60,432.00,95,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"12""",,,,,CID9112,596.85,674.70,519.00,118,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"15""",,,,,CID9113,703.80,795.60,612.00,133,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"24""",,,,,CID9114,1023.50,1157.00,890.00,145,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"18""",,,,,CID9115,856.75,968.50,745.00,166,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"20""",,,,,CID9116,1063.75,1202.50,925.00,185,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"24""",,,,,CID9117,1152.30,1302.60,1002.00,201,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"30""",,,,,CID9118,1522.60,1721.20,1324.00,280,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"36""",,,,,CID9119,1853.80,2095.60,1612.00,448,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"48""",,,,,CID9120,522.10,590.20,454.00,56,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"60""",,,,,CID9121,607.20,686.40,528.00,69,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"60""",,,,,CID9123,607.20,686.40,528.00,96,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"18""",,,,,CID9124,811.90,917.80,706.00,144,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"24""",,,,,CID9125,936.10,1058.20,814.00,179,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"30""",,,,,CID9126,1290.30,1458.60,1122.00,264,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"36""",,,,,CID9127,1551.35,1753.70,1349.00,352,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"18""",,,,,CID9128,749.80,847.60,652.00,144,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"24""",,,,,CID9129,883.20,998.40,768.00,200,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"30""",,,,,CID9130,1230.50,1391.00,1070.00,268,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"36""",,,,,CID9131,1484.65,1678.30,1291.00,295,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"24""",,,,,CID9132,348.45,393.90,303.00,33,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"36""",,,,,CID9133,434.70,491.40,378.00,62,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"12""",,,,,CID9134,535.90,605.80,466.00,91,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"16""",,,,,CID9135,259.90,293.80,226.00,15,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"6""",,,,,CID9136,376.05,425.10,327.00,51,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"9""",,,,,CID9137,496.80,561.60,432.00,95,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"12""",,,,,CID9138,596.85,674.70,519.00,118,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"15""",,,,,CID9139,703.80,795.60,612.00,132,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"18""",,,,,CID9140,856.75,968.50,745.00,166,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"16""",,,,,CID9141,259.90,293.80,226.00,15,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"20""",,,,,CID9142,1063.75,1202.50,925.00,185,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"24""",,,,,CID9143,1202.90,1359.80,1046.00,200,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"30""",,,,,CID9144,1522.60,1721.20,1324.00,278,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"36""",,,,,CID9145,1853.80,2095.60,1612.00,448,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"12""",,,,,CID9146,1293.75,1462.50,1125.00,138,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"9""",,,,,CID9147,1136.20,1284.40,988.00,112,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"9""",,,,,CID9148,1136.20,1284.40,988.00,112,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"12""",,,,,CID9149,1293.75,1462.50,1125.00,138,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"9""",,,,,CID9150,460.00,520.00,400.00,78,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"15""",,,,,CID9152,654.35,739.70,569.00,107,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"4""",,,,,CID9153,372.60,421.20,324.00,47,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"12""",,,,,CID9156,535.90,605.80,466.00,91,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"48""",,,,,CID9157,522.10,590.20,454.00,79,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"6""",,,,,CID9163,1001.65,1132.30,871.00,85,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"4""",,,,,CID9164,978.65,1106.30,851.00,,,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"16""",,,,,CID9167,259.90,293.80,226.00,15,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"9""",,,,,CID9168,460.00,520.00,400.00,83,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"6""",,,,,CID9169,854.45,965.90,743.00,85,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"4""",,,,,CID9172,836.05,945.10,727.00,,,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"18""",,,,,CID9173,767.05,867.10,667.00,124,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"36""",,,,,CID9174,434.70,491.40,378.00,45,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"24""",,,,,CID9178,348.45,393.90,303.00,44,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"36""",,,,,CID9179,1451.30,1640.60,1262.00,261,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"18""",,,,,CID9181,2239.05,2531.10,1947.00,201,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"18""",,,,,CID9182,2239.05,2531.10,1947.00,201,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"24""",,,,,CID9183,2702.50,3055.00,2350.00,291,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"42""",,,,,CID9234,207.00,234.00,180.00,98,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"48""",,,,,CID9235,226.55,256.10,197.00,108,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"42""",,,,,CID9236,200.10,226.20,174.00,90,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"48""",,,,,CID9241,213.90,241.80,186.00,100,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"60""",,,,,CID9245,460.00,520.00,400.00,184,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"72""",,,,,CID9250,553.15,625.30,481.00,224,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"72""",,,,,CID9251,434.70,491.40,378.00,144,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"96""",,,,,CID9258,726.80,821.60,632.00,289,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"20""",,,,,CID9443,895.85,1012.70,779.00,,,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"20""",,,,,CID9444,895.85,1012.70,779.00,126,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"24""",,,,,CID9990,2702.50,3055.00,2350.00,291,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"6""",,,,,CID9991,373.75,422.50,325.00,,,continue,,manual,True,True,,,,
cid-auger-drive,MERGE,CID Auger Drive,"<p><strong>CID Auger Drive</strong> is a jobsite-ready CID attachment for contractors who need dependable performance without wasted downtime.</p><ul><li><strong>Heavy-duty build</strong> for construction, grading, land clearing, and material handling.</li><li><strong>Machine compatibility support</strong> — confirm coupler, mount, hydraulic flow, and sizing before purchase.</li><li><strong>Freight support</strong> available for large attachments.</li></ul><p>Heavy Iron Supply Co. supplies CID attachments, rubber tracks, and undercarriage parts nationwide.</p>",CID Attachments,Skid Steer Attachment,"Attachment, cid-attachments, auger",Active,TRUE,web,attachment,TRUE,Size,XHAD,,,,,XHAD,2774.95,3136.90,2413.00,361,lb,continue,,manual,True,True,,,,
cid-backhoe-bucket,MERGE,CID Backhoe Bucket,"<p><strong>CID Backhoe Bucket</strong> is a jobsite-ready CID attachment for contractors who need dependable performance without wasted downtime.</p><ul><li><strong>Heavy-duty build</strong> for construction, grading, land clearing, and material handling.</li><li><strong>Machine compatibility support</strong> — confirm coupler, mount, hydraulic flow, and sizing before purchase.</li><li><strong>Freight support</strong> available for large attachments.</li></ul><p>Heavy Iron Supply Co. supplies CID attachments, rubber tracks, and undercarriage parts nationwide.</p>",CID Attachments,Skid Steer Attachment,"Attachment, cid-attachments, bucket",Active,TRUE,web,attachment,TRUE,Size,"12""",,,,,XBHB12,468.05,529.10,407.00,119,lb,continue,,manual,True,True,https://cdn.bfldr.com/71PUUW3G/at/stptvhwk93s8j9hftpqrb34/CID-Skid-Steer-Back-Hoe-Bucket.jpg?auto=webp&format=png,1,CID Backhoe Bucket,"{""mpn"":""XBHB12"",""fits"":""Skid steer backhoe attachment"",""brand"":""CID"",""family"":""Backhoe Bucket"",""width_in"":12,""weight_lbs"":119,""availability"":""MadeToOrder"",""cutting_edge"":""Smooth"",""product_type"":""Bucket"",""has_teeth"":false,""sku"":""XBHB12"",""family_handle"":""cid-backhoe-bucket"",""family_title"":""CID Backhoe Bucket""}"
cid-backhoe-bucket,,,,,,,,,,,,Size,"16""",,,,,XBHB16,531.30,600.60,462.00,132,lb,continue,,manual,True,True,,,,"{""mpn"":""XBHB16"",""fits"":""Skid steer backhoe attachment"",""brand"":""CID"",""family"":""Backhoe Bucket"",""width_in"":16,""weight_lbs"":132,""availability"":""MadeToOrder"",""cutting_edge"":""Smooth"",""product_type"":""Bucket"",""has_teeth"":false,""sku"":""XBHB16"",""family_handle"":""cid-backhoe-bucket"",""family_title"":""CID Backhoe Bucket""}"
cid-backhoe-bucket,,,,,,,,,,,,Size,"20""",,,,,XBHB20,611.80,691.60,532.00,156,lb,continue,,manual,True,True,,,,"{""mpn"":""XBHB20"",""fits"":""Skid steer backhoe attachment"",""brand"":""CID"",""family"":""Backhoe Bucket"",""width_in"":20,""weight_lbs"":156,""availability"":""MadeToOrder"",""cutting_edge"":""Smooth"",""product_type"":""Bucket"",""has_teeth"":false,""sku"":""XBHB20"",""family_handle"":""cid-backhoe-bucket"",""family_title"":""CID Backhoe Bucket""}"
cid-backhoe-bucket,,,,,,,,,,,,Size,"24""",,,,,XBHB24,675.05,763.10,587.00,170,lb,continue,,manual,True,True,,,,"{""mpn"":""XBHB24"",""fits"":""Skid steer backhoe attachment"",""brand"":""CID"",""family"":""Backhoe Bucket"",""width_in"":24,""weight_lbs"":170,""availability"":""MadeToOrder"",""cutting_edge"":""Smooth"",""product_type"":""Bucket"",""has_teeth"":false,""sku"":""XBHB24"",""family_handle"":""cid-backhoe-bucket"",""family_title"":""CID Backhoe Bucket""}"
cid-backhoe-bucket,,,,,,,,,,,,Size,"8""",,,,,XBHB8,414.00,468.00,360.00,94,lb,continue,,manual,True,True,,,,"{""mpn"":""XBHB8"",""fits"":""Skid steer backhoe attachment"",""brand"":""CID"",""family"":""Backhoe Bucket"",""weight_lbs"":94,""availability"":""MadeToOrder"",""cutting_edge"":""Smooth"",""product_type"":""Bucket"",""has_teeth"":false,""width_in"":8,""sku"":""XBHB8"",""family_handle"":""cid-backhoe-bucket"",""family_title"":""CID Backhoe Bucket""}"
cid-backhoe-bucket,,,,,,,,,,,,Size,XBHSTA,,,,,XBHSTA,2057.35,2325.70,1789.00,394,lb,continue,,manual,True,True,,,,
cid-backhoe-bucket,,,,,,,,,,,,Size,XBHSWA,,,,,XBHSWA,4253.85,4808.70,3699.00,571,lb,continue,,manual,True,True,,,,
cid-backhoe-bucket,,,,,,,,,,,,Size,XBHT,,,,,XBHT,161.00,182.00,140.00,31,lb,continue,,manual,True,True,,,,
cid-backhoe-frame,MERGE,CID Backhoe Frame,"<p><strong>CID Backhoe Frame</strong> is a jobsite-ready CID attachment for contractors who need dependable performance without wasted downtime.</p><ul><li><strong>Heavy-duty build</strong> for construction, grading, land clearing, and material handling.</li><li><strong>Machine compatibility support</strong> — confirm coupler, mount, hydraulic flow, and sizing before purchase.</li><li><strong>Freight support</strong> available for large attachments.</li></ul><p>Heavy Iron Supply Co. supplies CID attachments, rubber tracks, and undercarriage parts nationwide.</p>",CID Attachments,Skid Steer Attachment,"Attachment, cid-attachments, forks",Active,TRUE,web,attachment,TRUE,Size,BHFRAME,,,,,BHFRAME,928.05,1049.10,807.00,,,continue,,manual,True,True,,,,
cid-bolt-on-finishing-rake,MERGE,Bolt-On Finishing Rake,"<p><strong>Bolt-On Finishing Rake</strong> is a jobsite-ready CID attachment for contractors who need dependable performance without wasted downtime.</p><ul><li><strong>Heavy-duty build</strong> for construction, grading, land clearing, and material handling.</li><li><strong>Machine compatibility support</strong> — confirm coupler, mount, hydraulic flow, and sizing before purchase.</li><li><strong>Freight support</strong> available for large attachments.</li></ul><p>Heavy Iron Supply Co. supplies CID attachments, rubber tracks, and undercarriage parts nationwide.</p>",CID Attachments,Skid Steer Attachment,"Attachment, cid-attachments, rake",Active,TRUE,web,attachment,TRUE,Size,"44""",,,,,FR44,276.00,312.00,240.00,,,continue,,manual,True,True,,,,
cid-bolt-on-finishing-rake,,,,,,,,,,,,Size,"48""",,,,,FR48,312.80,353.60,272.00,,,continue,,manual,True,True,,,,
cid-bolt-on-finishing-rake,,,,,,,,,,,,Size,"60""",,,,,FR60,313.95,354.90,273.00,,,continue,,manual,True,True,,,,
cid-bolt-on-finishing-rake,,,,,,,,,,,,Size,"72""",,,,,FR72,313.95,354.90,273.00,,,continue,,manual,True,True,,,,
cid-bolt-on-finishing-rake,,,,,,,,,,,,Size,"84""",,,,,FR84,418.60,473.20,364.00,,,continue,,manual,True,True,,,,
cid-bolt-on-finishing-rake,,,,,,,,,,,,Size,"96""",,,,,FR96,418.60,473.20,364.00,,,continue,,manual,True,True,,,,
cid-box-scrape-ripper,MERGE,Box Scrape Ripper - Heavy-Duty Attachment,"<p><strong>Box Scrape Ripper - Heavy-Duty Attachment</strong> is a jobsite-ready equipment attachment for contractors who need dependable performance without wasted downtime.</p>
<ul>
<li>
<strong>Heavy-duty build</strong> for daily construction, grading, land clearing, material handling, and utility work.</li>
<li>
<strong>Machine compatibility support</strong> helps confirm coupler, mount, hydraulic flow, and sizing before purchase.</li>
<li>
<strong>Freight support</strong> available for large attachments and commercial delivery needs.</li>
<li>
<strong>Fleet and dealer pricing</strong> available for qualified repeat buyers.</li>
</ul>
<p>Heavy Iron Supply Co. supplies attachments, rubber tracks, and undercarriage parts for working machines nationwide.</p>",CID Attachments,Skid Steer Attachment,"Grading Tool, Skid Steer, Skid Steer Attachment",Active,TRUE,web,attachment,TRUE,Size,"48""",,,,,BSR48,2605.90,2945.80,2266.00,,,continue,,manual,True,True,https://cdn.shopify.com/s/files/1/0952/1977/7823/files/Box_Scrape_Ripper.png?v=1779305914,1,CID Box Scrape Ripper | Heavy Iron Supply Co,
cid-box-scrape-ripper,,,,,,,,,,,,Size,"60""",,,,,BSR60,2718.60,3073.20,2364.00,794,lb,continue,,manual,True,True,,,,
cid-box-scrape-ripper,,,,,,,,,,,,Size,"72""",,,,,BSR72,2886.50,3263.00,2510.00,902,lb,continue,,manual,True,True,,,,
cid-box-scrape-ripper,,,,,,,,,,,,Size,"78""",,,,,BSR78,3105.00,3510.00,2700.00,912,lb,continue,,manual,True,True,,,,
cid-box-scrape-ripper,,,,,,,,,,,,Size,"84""",,,,,BSR84,3141.80,3551.60,2732.00,966,lb,continue,,manual,True,True,,,,
cid-box-scrape-ripper,,,,,,,,,,,,Size,"96""",,,,,BSR96,3310.85,3742.70,2879.00,1057,lb,continue,,manual,True,True,,,,
cid-compact-tractor-dual-cyl-grapple-rake,MERGE,Compact Tractor Dual-Cylinder Grapple Rake,"<p><strong>Compact Tractor Dual-Cylinder Grapple Rake</strong> is a jobsite-ready CID attachment for contractors who need dependable performance without wasted downtime.</p><ul><li><strong>Heavy-duty build</strong> for construction, grading, land clearing, and material handling.</li><li><strong>Machine compatibility support</strong> — confirm coupler, mount, hydraulic flow, and sizing before purchase.</li><li><strong>Freight support</strong> available for large attachments.</li></ul><p>Heavy Iron Supply Co. supplies CID attachments, rubber tracks, and undercarriage parts nationwide.</p>",CID Attachments,Skid Steer Attachment,"Attachment, cid-attachments, grapple",Active,TRUE,web,attachment,TRUE,Size,"60""",,,,,CTGRDC60,1746.85,1974.70,1519.00,335,lb,continue,,manual,True,True,,,,
cid-compact-tractor-dual-cyl-grapple-rake,,,,,,,,,,,,Size,"66""",,,,,CTGRDC66,1874.50,2119.00,1630.00,373,lb,continue,,manual,True,True,,,,
cid-compact-tractor-dual-cyl-grapple-rake,,,,,,,,,,,,Size,"72""",,,,,CTGRDC72,2044.70,2311.40,1778.00,390,lb,continue,,manual,True,True,,,,
cid-compact-tractor-frame,MERGE,Compact Tractor Frame,"<p><strong>Compact Tractor Frame</strong> is a jobsite-ready CID attachment for contractors who need dependable performance without wasted downtime.</p><ul><li><strong>Heavy-duty build</strong> for construction, grading, land clearing, and material handling.</li><li><strong>Machine compatibility support</strong> — confirm coupler, mount, hydraulic flow, and sizing before purchase.</li><li><strong>Freight support</strong> available for large attachments.</li></ul><p>Heavy Iron Supply Co. supplies CID attachments, rubber tracks, and undercarriage parts nationwide.</p>",CID Attachments,Skid Steer Attachment,"Attachment, cid-attachments, forks",Active,TRUE,web,attachment,TRUE,Size,CTFRAME,,,,,CTFRAME,301.30,340.60,262.00,113,lb,continue,,manual,True,True,,,,
cid-compact-tractor-frame,,,,,,,,,,,,Size,JD400CTFRAME,,,,,JD400CTFRAME,389.85,440.70,339.00,,,continue,,manual,True,True,,,,
cid-compact-tractor-grapple-bucket,MERGE,Compact Tractor Grapple Bucket,"<p><strong>Compact Tractor Grapple Bucket</strong> is a jobsite-ready equipment attachment for contractors who need dependable performance without wasted downtime.</p>
<ul>
<li>
<strong>Heavy-duty build</strong> for daily construction, grading, land clearing, material handling, and utility work.</li>
<li>
<strong>Machine compatibility support</strong> helps confirm coupler, mount, hydraulic flow, and sizing before purchase.</li>
<li>
<strong>Freight support</strong> available for large attachments and commercial delivery needs.</li>
<li>
<strong>Fleet and dealer pricing</strong> available for qualified repeat buyers.</li>
</ul>
<p>Heavy Iron Supply Co. supplies attachments, rubber tracks, and undercarriage parts for working machines nationwide.</p>",CID Attachments,Grapple Buckets,"Agriculture, Compact Tractor, Grapple Buckets",Active,TRUE,web,attachment,TRUE,Size,"48""",,,,,CTGB48,1614.60,1825.20,1404.00,368,lb,continue,,manual,True,True,https://cdn.shopify.com/s/files/1/0952/1977/7823/files/cid-grapple-bucket-heavy-duty_bc612a22-d7d6-4189-8495-291825a7ba10.png?v=1779315255,1,Compact Tractor Grapple Bucket | Heavy Iron Supply Co,
cid-compact-tractor-grapple-bucket,,,,,,,,,,,,Size,"54""",,,,,CTGB54,1710.05,1933.10,1487.00,,,continue,,manual,True,True,,,,
cid-compact-tractor-grapple-bucket,,,,,,,,,,,,Size,"60""",,,,,CTGB60,1752.60,1981.20,1524.00,421,lb,continue,,manual,True,True,,,,
cid-compact-tractor-grapple-bucket,,,,,,,,,,,,Size,"66""",,,,,CTGB66,1844.60,2085.20,1604.00,445,lb,continue,,manual,True,True,,,,
cid-compact-tractor-grapple-bucket,,,,,,,,,,,,Size,"72""",,,,,CTGB72,1937.75,2190.50,1685.00,472,lb,continue,,manual,True,True,,,,
cid-compact-tractor-grapple-bucket,,,,,,,,,,,,Size,"48""",,,,,CTRB48,794.65,898.30,691.00,400,lb,continue,,manual,True,True,,,,
cid-compact-tractor-grapple-bucket,,,,,,,,,,,,Size,"54""",,,,,CTRB54,871.70,985.40,758.00,252,lb,continue,,manual,True,True,,,,"{""mpn"":""CTRB54"",""duty"":""compact_mini"",""fits"":""Compact tractor quick-attach"",""brand"":""CID"",""family"":""Compact Tractor Rock Bucket"",""width_in"":54,""weight_lbs"":252,""availability"":""MadeToOrder"",""cutting_edge"":""Smooth"",""product_type"":""Bucket"",""has_teeth"":false,""sku"":""CTRB54"",""family_handle"":""cid-compact-tractor-grapple-bucket"",""family_title"":""Compact Tractor Grapple Bucket""}"
cid-compact-tractor-grapple-bucket,,,,,,,,,,,,Size,"60""",,,,,CTRB60,947.60,1071.20,824.00,255,lb,continue,,manual,True,True,,,,"{""mpn"":""CTRB60"",""duty"":""compact_mini"",""fits"":""Compact tractor quick-attach"",""brand"":""CID"",""family"":""Compact Tractor Rock Bucket"",""width_in"":60,""weight_lbs"":255,""availability"":""MadeToOrder"",""cutting_edge"":""Smooth"",""product_type"":""Bucket"",""has_teeth"":false,""sku"":""CTRB60"",""family_handle"":""cid-compact-tractor-grapple-bucket"",""family_title"":""Compact Tractor Grapple Bucket""}"
