product_id,sku,supplier_sku,shopify_sku,title,product_type,track_size_id,pattern,cost,price,qty_available,weight_lbs,product_url,source_systems
prd_320x86x50zz,320X86X50ZZ,,,,Rubber Track,,,755.00,838.00,,388,,sales_quote
prd_320x86x52cb,320X86X52CB,,,,Rubber Track,,,775.00,860.00,,397,,sales_quote
prd_320x86x52mb,320X86X52MB,,,,Rubber Track,,,785.00,871.00,,397,,sales_quote
prd_320x86x52sb,320X86X52SB,,,,Rubber Track,,,685.00,760.00,,397,,sales_quote
prd_320x86x52zz,320X86X52ZZ,,,,Rubber Track,,,705.00,783.00,,397,,sales_quote
prd_320x86x53c,320X86X53C,,,,Rubber Track,,,800.00,888.00,,145,,sales_quote
prd_320x86x53mb,320X86X53MB,,,,Rubber Track,,,725.00,805.00,,397,,sales_quote
prd_320x86x53xt,320X86X53XT,,,450x86x58MB,Rubber Track,,,820.00,910.00,,397,,sales_quote
prd_320x86x53zz,320X86X53ZZ,,,,Rubber Track,,,790.00,877.00,,397,,sales_quote
prd_350x52_5wx90,350X52.5WX90,,,,Rubber Track,,,865.00,960.00,,160,,sales_quote
prd_350x52_5x86,350X52.5X86,,,450x86x60MB,Rubber Track,,,905.00,1005.00,,422,,sales_quote
prd_350x52_5x92,350X52.5X92,,,,Rubber Track,,,960.00,1066.00,,422,,sales_quote
prd_350x54_5x86,350X54.5X86,,,KX040-4,Rubber Track,,,990.00,1099.00,,385,,sales_quote
prd_350x75_5x74,350X75.5X74,,,,Undercarriage Part,,,1300.00,1443.00,,,,sales_quote
prd_380x86x52sb,380X86X52SB,,,180x72x39,Rubber Track,,,875.00,971.00,,416,,sales_quote
prd_381x101x42av,381X101X42AV,,,381x101.6x42AV,Rubber Track,,,1080.00,1199.00,,614,,sales_quote
prd_4008654mb,4008654MB,,,,Undercarriage Part,,,1025.00,1138.00,,,,sales_quote
prd_400x72_5nx72,400X72.5NX72,,,,Rubber Track,,,1280.00,1421.00,,210,,sales_quote
prd_400x72_5nx74,400X72.5NX74,,,,Rubber Track,,,1265.00,1404.00,,607,,sales_quote
prd_400x72_5wx72,400X72.5WX72,,,,Rubber Track,,,1320.00,1465.00,,210,,sales_quote
prd_400x72_5wx74,400X72.5WX74,,,,Rubber Track,,,1308.00,1452.00,,649,,sales_quote
prd_400x72_5wx76,400X72.5WX76,,,180x72x37,Rubber Track,,,1343.00,1491.00,,682,,sales_quote
prd_400x75_5yx74,400X75.5YX74,,,400x72.5Wx74,Rubber Track,,,1563.00,1735.00,,877,,sales_quote
prd_400x86x49cb,400X86X49CB,,,180x72x39,Rubber Track,,,845.00,938.00,,416,,sales_quote
prd_400x86x49mb,400X86X49MB,,,180x72x45,Rubber Track,,,945.00,1049.00,,416,,sales_quote
prd_400x86x49zz,400X86X49ZZ,,,230x72x45,Rubber Track,,,815.00,905.00,,416,,sales_quote
prd_400x86x50cb,400X86X50CB,,,230x96x42,Rubber Track,,,855.00,949.00,,434,,sales_quote
prd_400x86x50mb,400X86X50MB,,,230x48x70,Rubber Track,,,950.00,1055.00,,434,,sales_quote
prd_400x86x50zz,400X86X50ZZ,,,230x96x33,Rubber Track,,,830.00,921.00,,434,,sales_quote
prd_400x86x52cb,400X86X52CB,,,300x52.5Nx80,Rubber Track,,,870.00,966.00,,449,,sales_quote
prd_400x86x52mb,400X86X52MB,,,300x52.5Nx84,Rubber Track,,,990.00,1099.00,,449,,sales_quote
prd_400x86x52zx,400X86X52ZX,,,300x52.5Nx86,Rubber Track,,,870.00,966.00,,449,,sales_quote
prd_400x86x52zz,400X86X52ZZ,,,300x52.5Nx86,Rubber Track,,,940.00,1043.00,,449,,sales_quote
prd_400x86x53c,400X86X53C,,,300x52.5Nx88,Rubber Track,,,840.00,932.00,,210,,sales_quote
prd_400x86x53mb,400X86X53MB,,,300x52.5Nx92,Rubber Track,,,945.00,1049.00,,457,,sales_quote
prd_400x86x53sb,400X86X53SB,,,300x52.5Nx88,Rubber Track,,,820.00,910.00,,210,,sales_quote
prd_400x86x53zz,400X86X53ZZ,,,350x54.5Kx86,Rubber Track,,,870.00,966.00,,457,,sales_quote
prd_4507186,4507186,,,,Undercarriage Part,,,1775.00,1970.00,,,,sales_quote
prd_450x81_5x76,450X81.5X76,,,Kubota KX080-4,Rubber Track,,,1795.00,1992.00,,838,,sales_quote
prd_450x81nx76,450X81NX76,,,350X55X88,Rubber Track,,,1770.00,1965.00,,841,,sales_quote
prd_450x81nx78,450X81NX78,,,400x72.5Wx74,Rubber Track,,,1810.00,2009.00,,862,,sales_quote
prd_450x81wx76,450X81WX76,,,ECR88 | TB290,Rubber Track,,,1770.00,1965.00,,841,,sales_quote
prd_450x83_5kx74,450X83.5KX74,,,400x72.5Wx74,Rubber Track,,,1945.00,2159.00,,250,,sales_quote
prd_450x83_5yx74,450X83.5YX74,,,400x72.5Wx74,Rubber Track,,,2200.00,2442.00,,877,,sales_quote
prd_450x86x52cb,450X86X52CB,,,400x72.5Wx76,Rubber Track,,,1110.00,1232.00,,522,,sales_quote
prd_450x86x52mb,450X86X52MB,,,450x81Nx76,Rubber Track,,,1065.00,1182.00,,522,,sales_quote
prd_450x86x52zz,450X86X52ZZ,,,45081N78,Rubber Track,,,1050.00,1166.00,,539,,sales_quote
prd_450x86x53cb,450X86X53CB,,,320x86x49C,Rubber Track,,,1055.00,1171.00,,539,,sales_quote
prd_450x86x53mb,450X86X53MB,,,450x81Wx76,Rubber Track,,,1085.00,1204.00,,539,,sales_quote
prd_450x86x53zz,450X86X53ZZ,,,320x86x49ZZ,Rubber Track,,,1100.00,1221.00,,539,,sales_quote
prd_450x86x55cb,450X86X55CB,,,320x86x50Z,Rubber Track,,,1085.00,1204.00,,554,,sales_quote
prd_450x86x55mb,450X86X55MB,,,320x86x50C,Rubber Track,,,1120.00,1243.00,,554,,sales_quote
prd_450x86x55xt,450X86X55XT,,,320x86x52C,Rubber Track,,,1085.00,1204.00,,554,,sales_quote
prd_450x86x55zz,450X86X55ZZ,,,320x86x52Z,Rubber Track,,,1100.00,1221.00,,554,,sales_quote
prd_450x86x56_z71,450X86X56-Z71,,,320x86x53Z,Rubber Track,,,1115.00,1238.00,,567,,sales_quote
prd_450x86x56cb,450X86X56CB,,,320x86x53Z,Rubber Track,,,1105.00,1227.00,,567,,sales_quote
prd_450x86x56mb,450X86X56MB,,,320x86x53C,Rubber Track,,,1075.00,1193.00,,567,,sales_quote
prd_450x86x56sb,450X86X56SB,,,320x86x53Z,Rubber Track,,,1080.00,1199.00,,567,,sales_quote
prd_450x86x56xt,450X86X56XT,,,400x86x49C,Rubber Track,,,1105.00,1227.00,,567,,sales_quote
prd_450x86x56zz,450X86X56ZZ,,,400x86x49Z,Rubber Track,,,1120.00,1243.00,,567,,sales_quote
prd_450x86x58at,450X86X58AT,,,400x86x52C,Rubber Track,,,1155.00,1282.00,,579,,sales_quote
prd_450x86x58cb,450X86X58CB,,,400x86x50Z,Rubber Track,,,1090.00,1210.00,,579,,sales_quote
prd_450x86x58mb,450X86X58MB,,,400x86x50C,Rubber Track,,,1190.00,1321.00,,579,,sales_quote
prd_450x86x58sb,450X86X58SB,,,400x86x50Z,Rubber Track,,,1115.00,1238.00,,579,,sales_quote
prd_450x86x58xt,450X86X58XT,,,400x86x52C,Rubber Track,,,1140.00,1265.00,,579,,sales_quote
prd_450x86x58zz,450X86X58ZZ,,,400x86x52Z,Rubber Track,,,1155.00,1282.00,,579,,sales_quote
prd_450x86x60cb,450X86X60CB,,,4508653Z,Rubber Track,,,1180.00,1310.00,,594,,sales_quote
prd_450x86x60mb,450X86X60MB,,,400x86x53C,Rubber Track,,,1145.00,1271.00,,594,,sales_quote
prd_450x86x60xt,450X86X60XT,,,400x86x53Z,Rubber Track,,,1175.00,1304.00,,594,,sales_quote
prd_450x86x60zz,450X86X60ZZ,,,450x86x52Z,Rubber Track,,,1190.00,1321.00,,594,,sales_quote
prd_450x86x63cb,450X86X63CB,,,450x86x56Z,Rubber Track,,,1295.00,1437.00,,616,,sales_quote
prd_450x86x63mb,450X86X63MB,,,450x86x55Z,Rubber Track,,,1260.00,1399.00,,616,,sales_quote
prd_450x86x63zz,450X86X63ZZ,,,450x86x55C,Rubber Track,,,1290.00,1432.00,,616,,sales_quote
prd_457x101x51av2,457X101X51AV2,,,457x101.6x51AV2,Rubber Track,,,1430.00,1587.00,,282,,sales_quote
prd_457x101x51av3,457X101X51AV3,,,457x101.6x51AV3,Rubber Track,,,1595.00,1770.00,,282,,sales_quote
prd_457x101x56av,457X101X56AV,,,457x101.6x56AV3,Rubber Track,,,1630.00,1809.00,,292,,sales_quote
prd_639_1830,639-1830,639-1830,,"18"" Camso Extreme Duty Camso HXD Pattern Rubber Track (457x101.6x51)",Rubber Track,ts_457x1016x51,Camso HXD Pattern,,1747,1,,https://www.mwedealers.com/18-Camso-Extreme-Duty-HXD-Pattern-Rubber-Track-457x101.6x51,supplier_products
prd_9073,9073,9073,,"CAT 267B/277B/287B ASV RC85/RC1053/8""-16 x 1 3/4"" Carriage Bolt & Locknut Grade 8",Undercarriage Part,,,,8,48,,https://www.mwedealers.com/CAT-267B-277B-287B-ASV-RC85-RC1053-8-16-x-1-3-4-Carriage-Bolt-Locknut-Grade-8_2,supplier_products
prd_bo101_300,BO101-300,BO101-300,,BOLT ON PAD 101-300,Undercarriage Part,,,,13,152,,https://www.mwedealers.com/BOLT-ON-PAD-101-300,supplier_products
prd_bo101_300_liggw4,BO101-300-LIGGW4,,BO101-300-LIGGW4,Bolt-On Track Pad | Part #BO101-300,Track Pads,,,13,16.73,152,25,https://newrubbertrack.com/products/bo101-300,shopify_product
prd_bo101_350,BO101-350,BO101-350,,BOLT ON PAD 101-350,Undercarriage Part,,,,13,2370,,https://www.mwedealers.com/BOLT-ON-PAD-101-350,supplier_products
prd_bo101_350_rxm4k2,BO101-350-RXM4K2,,BO101-350-RXM4K2,Bolt-On Track Pad | Part #BO101-350,Track Pads,,,13,16.73,2370,25,https://newrubbertrack.com/products/bo101-350,shopify_product
prd_bo135_400,BO135-400,BO135-400,,BO135-400 BOLT ON TRACK PAD,Undercarriage Part,,,,16,10,,https://www.mwedealers.com/BO135-400-BOLT-ON-TRACK-PAD,supplier_products
prd_bo154_450,BO154-450,BO154-450,,450MM Bolt on pad 154-450 (Bolt to steel grouser shoe),Undercarriage Part,,,,25,55,,https://www.mwedealers.com/BOLT-ON-PAD-154-450,supplier_products
prd_bo154_450_uv20yh,BO154-450-UV20YH,,BO154-450-UV20YH,Bolt-On Track Pad | Part #BO154-450,Track Pads,,,25,32.17,55,25,https://newrubbertrack.com/products/bo154-450,shopify_product
prd_bo171_500,BO171-500,BO171-500,,500MM Bolt-on pad 171-500 (Bolt to steel grouser shoe),Undercarriage Part,,,,38,67,,https://www.mwedealers.com/BOLT-ON-PAD-171-500,supplier_products
prd_bo171_500_nif91d,BO171-500-NIF91D,,BO171-500-NIF91D,Bolt-On Track Pad | Part #BO171-500,Track Pads,,,38,48.91,67,25,https://newrubbertrack.com/products/bo171-500,shopify_product
prd_bs1807239cxd,BS1807239CXD,BS1807239CXD,,"7"" Bridgestone Extreme Duty C Pattern Rubber Track (180x72x39)",Rubber Track,ts_180x72x39,C Pattern,,380,2,,https://www.mwedealers.com/7-Bridgestone-Extreme-Duty-C-Pattern-Rubber-Track-180x72x39,supplier_products
prd_bs1807245cxd,BS1807245CXD,BS1807245CXD,,"6"" Bridgestone Extreme Duty C Pattern Rubber Track (180X72KX45)",Rubber Track,ts_180x72kx45,C Pattern,,421,6,,https://www.mwedealers.com/7-Bridgestone-Extreme-Duty-C-Pattern-Rubber-Track-180x72x45,supplier_products
prd_bs2304870xd,BS2304870XD,BS2304870XD,,"9"" Bridgestone Extreme Duty MX Pattern Rubber Track (230x48x70)",Rubber Track,ts_230x48x70,MX Pattern,,575,0,,https://www.mwedealers.com/9-Bridgestone-Extreme-Duty-Rubber-Track-230x48x70,supplier_products
prd_bs2309636xd,BS2309636XD,BS2309636XD,,"9"" Bridgestone Extreme Duty MX Pattern Rubber Track (230x96x36)",Rubber Track,ts_230x96x36,MX Pattern,,425,1,,https://www.mwedealers.com/9-Bridgestone-Extreme-Duty-Rubber-Track-230x96x36,supplier_products
prd_bs2507239cxd,BS2507239CXD,BS2507239CXD,,"10"" Bridgestone Extreme Duty C Pattern Rubber Track (250x72x39)",Rubber Track,ts_250x72x39,C Pattern,,438,0,,https://www.mwedealers.com/10-Bridgestone-Extreme-Duty-C-Pattern-Rubber-Track-250x72x39,supplier_products
prd_bs2507245cxd,BS2507245CXD,BS2507245CXD,,"10"" Bridgestone Extreme Duty C Pattern Rubber Track (250x72x45)",Rubber Track,ts_250x72x45,C Pattern,,499,3,,https://www.mwedealers.com/10-Bridgestone-Extreme-Duty-C-Pattern-Rubber-Track-250x72x45,supplier_products
prd_bs30052586rsxd,BS30052586RSXD,BS30052586RSXD,,"12"" Bridgestone Extreme Duty MX Pattern Rubber Track (300x52.5Nx86)",Rubber Track,ts_300x525nx86,MX Pattern,,1051,4,,https://www.mwedealers.com/12-Bridgestone-Extreme-Duty-Block-Pattern-Rubber-Track-300x52.5Nx86-Tri-Tech-for-John-Deere-35D,supplier_products
prd_bs300525n80xd,BS300525N80XD,BS300525N80XD,,"12"" Bridgestone Extreme Duty MX Pattern Rubber Track (300x52.5Nx80)",Rubber Track,ts_300x525nx80,MX Pattern,,992,22,,https://www.mwedealers.com/12-Bridgestone-Extreme-Duty-Rubber-Track-300x52.5Nx80,supplier_products
prd_bs300525w78xd,BS300525W78XD,BS300525W78XD,,"12"" Bridgestone Extreme Duty MX Pattern Rubber Track (300x52.5Wx78)",Rubber Track,ts_300x525wx78,MX Pattern,,968,7,,https://www.mwedealers.com/12-Bridgestone-Extreme-Duty-Rubber-Track-300x52.5Wx78,supplier_products
prd_bs300525w84xd,BS300525W84XD,BS300525W84XD,,"12"" Bridgestone Extreme Duty MX Pattern Rubber Track (300x52.5Wx84)",Rubber Track,ts_300x525wx84,MX Pattern,,1033,9,,https://www.mwedealers.com/12-Bridgestone-Extreme-Duty-Rubber-Track-300x52.5Wx84,supplier_products
prd_bs300525w86xd,BS300525W86XD,BS300525W86XD,,"12"" Bridgestone Extreme Duty MX Pattern Rubber Track (300x52.5Wx86)",Rubber Track,ts_300x525wx86,MX Pattern,,1051,10,,https://www.mwedealers.com/12-Bridgestone-Extreme-Duty-Rubber-Track-300x52.5Wx86,supplier_products
prd_bs3005380xd,BS3005380XD,BS3005380XD,,"12"" Bridgestone Extreme Duty MX Pattern Rubber Track (300x53x80)",Rubber Track,ts_300x53x80,MX Pattern,,1058,2,,https://www.mwedealers.com/Bridgestone_68,supplier_products
prd_bs3008446xdc,BS3008446XDC,BS3008446XDC,,"12"" Bridgestone Extreme Duty C Pattern Rubber Track (300x84x46)",Rubber Track,ts_300x84x46,C Pattern,,1056,0,,https://www.mwedealers.com/12-Bridgestone-Extreme-Duty-C-Pattern-Rubber-Track-300x84x46,supplier_products
prd_bs3208649bxd,BS3208649BXD,BS3208649BXD,,"13"" Bridgestone Extreme Duty Block Pattern Rubber Track (320x86Bx49)",Rubber Track,ts_320x86bx49,Block Pattern,,1115,20,,https://www.mwedealers.com/13-Bridgestone-Extreme-Duty-Block-Pattern-Rubber-Track-320x86Bx49,supplier_products
prd_bs3208649cxd,BS3208649CXD,BS3208649CXD,,"13"" Bridgestone Extreme Duty C Pattern Rubber Track (320x86Bx49)",Rubber Track,ts_320x86bx49,C Pattern,,1115,4,,https://www.mwedealers.com/13-Bridgestone-Extreme-Duty-C-Pattern-Rubber-Track-320x86Bx49,supplier_products
prd_bs3208649mbxd,BS3208649MBXD,BS3208649MBXD,,"13"" Bridgestone Extreme Duty Multi-Bar Pattern Rubber Track (320x86Bx49)",Rubber Track,ts_320x86bx49,Multi-Bar Pattern,,1115,0,,https://www.mwedealers.com/13-Bridgestone-Extreme-Duty-Multi-Bar-Pattern-Rubber-Track-320x86Bx49,supplier_products
prd_bs3208650bxd,BS3208650BXD,BS3208650BXD,,"13"" Bridgestone Extreme Duty Block Pattern Rubber Track (320x86Bx50)",Rubber Track,ts_320x86bx50,Block Pattern,,1130,18,,https://www.mwedealers.com/13-Bridgestone-Extreme-Duty-Block-Pattern-Rubber-Track-320x86Bx50,supplier_products
prd_bs3208650cxd,BS3208650CXD,BS3208650CXD,,"13"" Bridgestone Extreme Duty C Pattern Rubber Track (320x86Bx50)",Rubber Track,ts_320x86bx50,C Pattern,,1130,0,,https://www.mwedealers.com/13-Bridgestone-Extreme-Duty-C-Pattern-Rubber-Track-320x86Bx50,supplier_products
prd_bs3208650mbxd,BS3208650MBXD,BS3208650MBXD,,"13"" Bridgestone Extreme Duty Multi-Bar Pattern Rubber Track (320x86Bx50)",Rubber Track,ts_320x86bx50,Multi-Bar Pattern,,1130,6,,https://www.mwedealers.com/13-Bridgestone-Extreme-Duty-Multi-Bar-Pattern-Rubber-Track-320x86Bx50,supplier_products
prd_bs3208652bxd,BS3208652BXD,BS3208652BXD,,"13"" Bridgestone Extreme Duty Block Pattern Rubber Track (320x86Bx52)",Rubber Track,ts_320x86bx52,Block Pattern,,1162,17,,https://www.mwedealers.com/13-Bridgestone-Extreme-Duty-Block-Pattern-Rubber-Track-320x86Bx52,supplier_products
prd_bs3208652cxd,BS3208652CXD,BS3208652CXD,,"13"" Bridgestone Extreme Duty C Pattern Rubber Track (320x86Bx52)",Rubber Track,ts_320x86bx52,C Pattern,,1162,4,,https://www.mwedealers.com/13-Bridgestone-Extreme-Duty-C-Pattern-Rubber-Track-320x86Bx52,supplier_products
prd_bs3208652mbxd,BS3208652MBXD,BS3208652MBXD,,"13"" Bridgestone Extreme Duty Multi-Bar Pattern Rubber Track (320x86Bx52)",Rubber Track,ts_320x86bx52,Multi-Bar Pattern,,1162,4,,https://www.mwedealers.com/13-Bridgestone-Multi-Bar-Pattern-Rubber-Track-320x86Bx52,supplier_products
prd_bs3208652vxd,BS3208652VXD,BS3208652VXD,,"13"" Bridgestone Extreme Duty Vortech Rubber Track (320x86Bx52)",Rubber Track,ts_320x86bx52,Vortech,,1162,1,,https://www.mwedealers.com/13-Bridgestone-Extreme-Duty-Vortech-Pattern-Rubber-Track-320X86X52,supplier_products
prd_bs3208653bxd,BS3208653BXD,BS3208653BXD,,"13"" Bridgestone Extreme Duty Block Pattern Rubber Track (320x86Bx53)",Rubber Track,ts_320x86bx53,Block Pattern,,1179,6,,https://www.mwedealers.com/13-Bridgestone-Extreme-Duty-Block-Pattern-Rubber-Track-320x86Bx53,supplier_products
prd_bs3208653cxd,BS3208653CXD,BS3208653CXD,,"13"" Bridgestone Extreme Duty C Pattern Rubber Track (320x86Bx53)",Rubber Track,ts_320x86bx53,C Pattern,,1179,0,,https://www.mwedealers.com/13-Bridgestone-Extreme-Duty-C-Pattern-Rubber-Track-320x86Bx53,supplier_products
prd_bs3208653mbxd,BS3208653MBXD,BS3208653MBXD,,"13"" Bridgestone Extreme Duty Multi-Bar Pattern Rubber Track (320x86Bx53)",Rubber Track,ts_320x86bx53,Multi-Bar Pattern,,1179,2,,https://www.mwedealers.com/13-Bridgestone-Extreme-Duty-Multi-Bar-Pattern-Rubber-Track-320x86Bx53,supplier_products
prd_bs35052586xd,BS35052586XD,BS35052586XD,,"14"" Bridgestone Extreme Duty MX Pattern Rubber Track (350x52.5x86)",Rubber Track,ts_350x525x86,MX Pattern,,1550,8,,https://www.mwedealers.com/14-Bridgestone-Extreme-Duty-Rubber-Track-350x52.5x86,supplier_products
prd_bs35546152_4snnxd,BS35546152.4SNNXD,BS35546152.4SNNXD,,"14"" Bridgestone Extreme Duty Smooth Rubber Track (355x152.4x46-720)",Rubber Track,,Smooth,,5739,2,,https://www.mwedealers.com/14-Bridgestone_3,supplier_products
prd_bs355x46x1524snxd,BS355X46X1524SNXD,BS355x46x1524SNXD,,"14"" Bridgestone Extreme Duty Chevron Rubber Track (355x152.4x46-610)",Rubber Track,,Chevron,,5343,0,,https://www.mwedealers.com/Bridgestone-Extreme-Duty-Rubber-Track-355x46x152.4nn,supplier_products
prd_bs355x46x152_4sn,BS355X46X152.4SN,BS355X46X152.4SN,,"14"" Bridgestone Extreme Duty Chevron Rubber Track (355x152.4x46-655)",Rubber Track,,Chevron,,5291,0,,https://www.mwedealers.com/14-Bridgestone-Extreme-Duty_2,supplier_products
prd_bs400725n74xd,BS400725N74XD,BS400725N74XD,,"16"" Bridgestone Extreme Duty MX Pattern Rubber Track (400x72.5Nx74)",Rubber Track,ts_400x725nx74,MX Pattern,,1760,4,,https://www.mwedealers.com/16-Bridgestone-Extreme-Duty-Rubber-Track-400x72.5Nx74,supplier_products
prd_bs400725w72xd,BS400725W72XD,BS400725W72XD,,"16"" Bridgestone Extreme Duty MX Pattern Rubber Track (400x72.5Wx72)",Rubber Track,ts_400x725wx72,MX Pattern,,1713,1,,https://www.mwedealers.com/Bridgestone_95,supplier_products
prd_bs400725w74xd,BS400725W74XD,BS400725W74XD,,"16"" Bridgestone Extreme Duty MX Pattern Rubber Track (400x72.5Wx74)",Rubber Track,ts_400x725wx74,MX Pattern,,1760,8,,https://www.mwedealers.com/16-Bridgestone-Extreme-Duty-Rubber-Track-400x72.5Wx74,supplier_products
prd_bs4008649cxd,BS4008649CXD,BS4008649CXD,,"16"" Bridgestone Extreme Duty C Pattern Rubber Track (400x86Bx49)",Rubber Track,ts_400x86bx49,C Pattern,,1395,4,,https://www.mwedealers.com/16-Bridgestone-Extreme-Duty-C-Pattern-Rubber-Track-400x86Bx49,supplier_products
prd_bs4008650bxd,BS4008650BXD,BS4008650BXD,,"16"" Bridgestone Extreme Duty Block Pattern Rubber Track (400x86Bx50)",Rubber Track,ts_400x86bx50,Block Pattern,,1405,11,,https://www.mwedealers.com/16-Bridgestone-Extreme-Duty-Block-Pattern-Rubber-Track-400x86Bx50,supplier_products
prd_bs4008650cxd,BS4008650CXD,BS4008650CXD,,"16"" Bridgestone Extreme Duty C Pattern Rubber Track (400x86Bx50)",Rubber Track,ts_400x86bx50,C Pattern,,1405,6,,https://www.mwedealers.com/16-Bridgestone-Extreme-Duty-C-Pattern-Rubber-Track-400x86Bx50,supplier_products
